x,Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All,Comments
173,08-09-2011,08:15,Tuesday,GSK,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No,Medium amount of rain
174,08-08-2011,17:05,Monday,Home,52.35,127.5,76.9,84.2,8.54,40.9,37.3,No,
175,08-08-2011,08:07,Monday,GSK,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No,New tires
176,08-05-2011,17:00,Friday,Home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No,
177,08-05-2011,08:20,Friday,GSK,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No,
178,08-04-2011,17:38,Thursday,Home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No,
179,08-04-2011,08:17,Thursday,GSK,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No,
180,08-03-2011,17:14,Wednesday,Home,51.64,125,72.2,78.7,8.48,42.9,39.4,No,
181,08-03-2011,08:06,Wednesday,GSK,49.06,121.9,71.5,78.7,8.48,41.2,37.4,No,
182,08-02-2011,17:22,Tuesday,Home,51.16,124.2,76.3,83.2,8.48,40.2,36.9,No,
183,08-02-2011,07:38,Tuesday,GSK,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No,Turn around on Derry
184,7/29/2011,20:31,Friday,Home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes,
185,7/29/2011,08:22,Friday,GSK,49.07,121.1,73.2,77.7,8.45,40.2,37.9,No,Empty roads
186,7/28/2011,17:46,Thursday,Home,51.09,128.5,76,84.8,8.45,40.3,36.2,No,
187,7/28/2011,08:11,Thursday,GSK,49.11,120.1,69.1,73.1,8.45,42.6,40.3,No,
188,7/27/2011,17:24,Wednesday,Home,50.98,124.9,68.3,71.9,8.45,44.8,42.6,No,Police slowdown on 403
189,7/27/2011,08:15,Wednesday,GSK,48.82,124.5,70.4,77.8,8.45,41.6,37.6,No,
190,7/26/2011,17:15,Tuesday,Home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No,Accident blocked 407 exit
191,7/26/2011,08:11,Tuesday,GSK,49.16,122.6,71.9,76.8,8.45,41,38.4,No,
192,7/25/2011,16:59,Monday,Home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No,
193,7/25/2011,08:06,Monday,GSK,48.32,121.2,63.4,78.4,8.45,45.7,37,No,
194,7/22/2011,16:47,Friday,Home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No,
195,7/22/2011,08:28,Friday,GSK,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes,
196,7/21/2011,07:59,Thursday,GSK,48.35,129.3,81.5,89,8.28,35.6,32.6,Yes,
197,7/20/2011,17:17,Wednesday,Home,53.47,124,58.6,71,7.89,54.8,45.2,No,
198,7/20/2011,08:24,Wednesday,GSK,48.5,125.8,75.7,87.3,7.89,38.5,33.3,Yes,
199,7/19/2011,17:17,Tuesday,Home,51.16,126.7,92.2,102.6,7.89,33.3,29.9,Yes,
200,7/19/2011,08:11,Tuesday,GSK,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes,
201,7/18/2011,08:09,Monday,GSK,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No,
202,7/14/2011,08:03,Thursday,GSK,50.9,123.7,76.2,95.1,7.89,40.1,32.1,Yes,
203,7/13/2011,17:08,Wednesday,Home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes,
204,07-12-2011,17:51,Tuesday,Home,53.28,125.8,61.6,87.6,,51.9,36.5,Yes,
205,07-11-2011,16:56,Monday,Home,51.73,125,62.8,92.5,,49.5,33.6,Yes,
